timestamp,node_id,seq,pitch,roll,tilt,j2,j3,rain,alert,label,latency_ms,e2e_ms
2026-06-10 12:42:27,N02,3,0.0,0.0,0.0,59.0,56.0,0,0,0,0.049114227294921875,0.0
2026-06-10 12:42:36,N02,4,0.0,0.0,0.0,58.0,56.0,0,0,0,0.035762786865234375,0.0
2026-06-10 12:42:46,N02,5,0.0,0.0,0.0,58.0,55.0,0,0,0,0.037670135498046875,0.0
2026-06-10 12:42:55,N02,6,0.0,0.0,0.0,58.0,55.0,0,0,0,0.029802322387695312,0.0
2026-06-10 12:43:04,N02,7,0.0,0.0,0.0,57.0,55.0,0,0,0,0.014781951904296875,0.0
2026-06-10 12:43:13,N02,8,0.1,0.0,0.1,57.0,55.0,0,0,0,0.027418136596679688,0.0
2026-06-10 12:43:19,N03,0,-0.2,-0.9,0.9,59.0,52.0,0,0,0,0.029087066650390625,0.0
2026-06-10 12:43:22,N02,9,0.1,0.0,0.1,57.0,54.0,0,0,0,0.0286102294921875,0.0
2026-06-10 12:43:28,N03,1,0.0,0.0,0.0,60.0,53.0,0,0,0,0.026702880859375,0.0
2026-06-10 12:43:31,N02,10,0.0,0.0,0.0,56.0,54.0,0,0,0,0.0247955322265625,0.0
2026-06-10 12:43:37,N03,2,0.0,0.0,0.1,58.0,51.0,0,0,0,0.02765655517578125,0.0
2026-06-10 12:43:41,N02,11,0.0,0.0,0.0,56.0,54.0,0,0,0,0.02765655517578125,0.0
2026-06-10 12:43:46,N03,3,0.0,0.0,0.0,60.0,52.0,0,0,0,0.027418136596679688,0.0
2026-06-10 12:43:50,N02,12,0.1,0.0,0.1,56.0,54.0,0,0,0,0.029802322387695312,0.0
2026-06-10 12:43:56,N03,4,0.0,0.0,0.0,58.0,51.0,0,0,0,0.027179718017578125,0.0
2026-06-10 12:43:59,N02,13,0.1,0.0,0.1,56.0,53.0,0,0,0,0.028133392333984375,0.0
2026-06-10 12:44:05,N03,5,-0.4,0.1,0.5,60.0,53.0,0,0,0,0.027894973754882812,0.0
2026-06-10 12:44:08,N02,14,0.1,0.0,0.1,56.0,54.0,0,0,0,0.02765655517578125,0.0
2026-06-10 12:44:14,N03,6,0.0,-0.1,0.1,57.0,50.0,0,0,0,0.027179718017578125,0.0
2026-06-10 12:44:17,N02,15,0.1,0.0,0.1,56.0,53.0,0,0,0,0.02765655517578125,0.0
2026-06-10 12:44:23,N03,7,0.0,0.0,0.0,59.0,52.0,0,0,0,0.027894973754882812,0.0
2026-06-10 12:44:26,N02,16,0.1,0.0,0.1,56.0,53.0,0,0,0,0.026702880859375,0.0
2026-06-10 12:44:33,N03,8,0.0,0.0,0.0,57.0,51.0,0,0,0,0.028371810913085938,0.0
2026-06-10 12:44:36,N02,17,0.1,0.1,0.1,55.0,53.0,0,0,0,0.026702880859375,0.0
2026-06-10 12:44:42,N03,9,0.0,0.0,0.0,58.0,51.0,0,0,0,0.026702880859375,0.0
2026-06-10 12:44:45,N02,18,0.1,0.0,0.1,55.0,53.0,0,0,0,0.027418136596679688,0.0
2026-06-10 12:44:51,N03,10,0.0,0.0,0.0,58.0,51.0,0,0,0,0.026941299438476562,0.0
2026-06-10 12:44:54,N02,19,0.1,0.0,0.1,55.0,53.0,0,0,0,0.057697296142578125,0.0
2026-06-10 12:45:01,N03,11,0.0,0.0,0.0,58.0,51.0,0,0,0,0.028371810913085938,0.0
2026-06-10 12:45:04,N02,20,0.1,0.0,0.1,55.0,53.0,0,0,0,0.02765655517578125,0.0
2026-06-10 12:45:10,N03,12,0.0,0.0,0.0,59.0,52.0,0,0,0,0.027418136596679688,0.0
2026-06-10 12:45:13,N02,21,0.1,0.0,0.1,55.0,53.0,0,0,0,0.026702880859375,0.0
2026-06-10 12:45:19,N03,13,0.0,0.0,0.0,59.0,52.0,0,0,0,0.027418136596679688,0.0
2026-06-10 12:45:22,N02,22,0.1,0.0,0.1,55.0,53.0,0,0,0,0.025987625122070312,0.0
2026-06-10 12:45:28,N03,14,0.0,0.0,0.0,59.0,52.0,0,0,0,0.0286102294921875,0.0
2026-06-10 12:45:31,N02,23,0.1,0.0,0.1,55.0,53.0,0,0,0,0.028133392333984375,0.0
2026-06-10 12:45:37,N03,15,0.0,0.0,0.0,56.0,50.0,0,0,0,0.027894973754882812,0.0
2026-06-10 12:45:41,N02,24,0.1,0.0,0.1,55.0,53.0,0,0,0,0.0286102294921875,0.0
2026-06-10 12:45:46,N03,16,0.0,0.0,0.0,58.0,51.0,0,0,0,0.026226043701171875,0.0
2026-06-10 12:45:50,N02,25,0.0,0.0,0.0,55.0,53.0,0,0,0,0.027894973754882812,0.0
2026-06-10 12:45:55,N03,17,0.0,0.1,0.1,58.0,51.0,0,0,0,0.028133392333984375,0.0
2026-06-10 12:45:59,N02,26,0.1,0.0,0.1,55.0,53.0,0,0,0,0.028133392333984375,0.0
2026-06-10 12:46:05,N03,18,0.0,0.0,0.0,58.0,51.0,0,0,0,0.027179718017578125,0.0
2026-06-10 12:46:08,N02,27,0.1,0.0,0.1,55.0,52.0,0,0,0,0.026941299438476562,0.0
2026-06-10 12:46:14,N03,19,0.0,0.0,0.0,58.0,52.0,0,0,0,0.027179718017578125,0.0
2026-06-10 12:46:17,N02,28,0.1,0.0,0.1,54.0,52.0,0,0,0,0.028133392333984375,0.0
2026-06-10 12:46:23,N03,20,0.0,0.0,0.0,58.0,52.0,0,0,0,0.026702880859375,0.0
2026-06-10 12:46:27,N02,29,0.1,0.0,0.1,54.0,52.0,0,0,0,0.027179718017578125,0.0
2026-06-10 12:46:33,N03,21,0.0,0.0,0.0,58.0,51.0,0,0,0,0.026464462280273438,0.0
